split,model,layer,duration,duration_val,test_split,metric,score
test,SpidR VP-20,7,10min,10,test,triphone_abx_discrete,10.36
test,SpidR VP-20,7,1h,60,test,triphone_abx_discrete,9.35
test,SpidR VP-20,6,10h,600,dev,triphone_abx_discrete,11.48
test,SpidR VP-20,7,10min,10,dev,triphone_abx_discrete,13.81
test,SpidR VP-20,7,1h,60,dev,triphone_abx_discrete,12.21
test,SpidR VP-20,6,0,1,test,triphone_abx_discrete,13.3
test,SpidR VP-20,6,0,1,dev,triphone_abx_discrete,16.54
dev,HuBERT MMS-ulab,12,10h,600,test,triphone_abx_continuous,7.51
dev,HuBERT MMS-ulab,11,10min,10,test,triphone_abx_continuous,8.31
dev,HuBERT MMS-ulab,11,1h,60,test,triphone_abx_continuous,7.77
dev,HuBERT MMS-ulab,12,10h,600,dev,triphone_abx_continuous,8.9
dev,HuBERT MMS-ulab,11,10min,10,dev,triphone_abx_continuous,10.47
dev,HuBERT MMS-ulab,11,1h,60,dev,triphone_abx_continuous,9.6
dev,HuBERT MMS-ulab,12,0,1,test,triphone_abx_continuous,9.24
dev,HuBERT MMS-ulab,12,0,1,dev,triphone_abx_continuous,10.67
dev,HuBERT VP-20,11,10h,600,test,triphone_abx_continuous,6.11
dev,HuBERT VP-20,11,10min,10,test,triphone_abx_continuous,8.1
dev,HuBERT VP-20,11,1h,60,test,triphone_abx_continuous,7.25
dev,HuBERT VP-20,11,10h,600,dev,triphone_abx_continuous,7.28
dev,HuBERT VP-20,11,10min,10,dev,triphone_abx_continuous,9.12
